,ano,mes,dia_semana,Qt_almoco,Qt_jantar,dia
642,2018,10,1,855,505,2
643,2018,10,2,827,547,3
644,2018,10,3,803,487,4
645,2018,10,4,579,300,5
646,2018,10,0,645,484,8
647,2018,10,1,862,490,9
648,2018,10,2,781,497,10
649,2018,10,3,716,397,11
650,2018,10,1,711,507,16
651,2018,10,2,775,523,17
652,2018,10,3,776,534,18
653,2018,10,4,685,386,19
654,2018,10,0,725,499,22
655,2018,10,1,846,549,23
656,2018,10,2,767,518,24
657,2018,10,3,779,453,25
658,2018,10,4,586,308,26
659,2018,10,0,498,389,29
660,2018,10,1,550,378,30
661,2018,10,2,538,307,31
662,2018,11,3,489,352,1
663,2018,11,0,707,504,5
664,2018,11,1,836,544,6
665,2018,11,2,831,518,7
666,2018,11,3,835,492,8
667,2018,11,4,674,372,9
668,2018,11,0,678,498,12
669,2018,11,1,859,504,13
670,2018,11,2,746,418,14
671,2018,11,4,324,181,16
672,2018,11,0,710,489,19
673,2018,11,1,792,488,20
674,2018,11,2,801,492,21
675,2018,11,3,744,460,22
676,2018,11,4,583,310,23
677,2018,11,0,686,400,26
678,2018,11,1,778,438,27
679,2018,11,2,791,426,28
680,2018,11,3,716,464,29
681,2018,11,4,600,321,30
682,2018,12,0,592,385,3
683,2018,12,1,655,390,4
684,2018,12,2,668,359,5
685,2018,12,3,601,331,6
686,2018,12,4,383,188,7
687,2018,12,0,342,155,10
688,2018,12,1,414,227,11
689,2018,12,2,400,203,12
690,2018,12,3,307,155,13
691,2018,12,4,235,101,14
692,2018,12,0,122,0,17
693,2018,12,1,121,0,18
694,2018,12,2,141,0,19
695,2019,1,0,113,0,7
696,2019,1,1,111,0,8
697,2019,1,2,126,0,9
698,2019,1,3,111,0,10
699,2019,1,4,85,0,11
700,2019,1,0,117,0,14
701,2019,1,1,127,0,15
702,2019,1,2,157,0,16
703,2019,1,3,111,0,17
704,2019,1,4,114,0,18
705,2019,1,0,149,0,21
706,2019,1,1,156,0,22
707,2019,1,2,179,0,23
708,2019,1,3,188,0,24
709,2019,1,4,143,0,25
710,2019,1,0,215,0,28
711,2019,1,1,217,0,29
712,2019,1,2,190,0,30
713,2019,1,3,206,0,31
714,2019,2,4,189,0,1
715,2019,2,0,228,0,4
716,2019,2,1,205,0,5
717,2019,2,2,217,0,6
718,2019,2,3,209,0,7
719,2019,2,4,174,0,8
720,2019,2,0,219,0,11
721,2019,2,1,225,0,12
722,2019,2,2,246,0,13
723,2019,2,3,238,0,14
724,2019,2,4,215,0,15
725,2019,2,0,666,445,18
726,2019,2,1,837,559,19
727,2019,2,2,870,479,20
728,2019,2,3,874,481,21
729,2019,2,4,696,387,22
730,2019,2,0,812,558,25
731,2019,2,1,950,544,26
732,2019,2,2,873,522,27
733,2019,2,3,879,526,28
734,2019,3,4,542,295,1
735,2019,3,3,603,426,7
736,2019,3,4,563,351,8
737,2019,3,0,789,516,11
738,2019,3,1,928,558,12
739,2019,3,2,870,558,13
740,2019,3,3,861,529,14
741,2019,3,4,699,402,15
742,2019,3,0,668,410,18
743,2019,3,2,850,547,20
744,2019,3,3,876,510,21
745,2019,3,4,696,388,22
746,2019,3,1,856,552,26
747,2019,3,2,822,543,27
748,2019,3,3,830,511,28
749,2019,3,4,687,341,29
750,2019,4,0,719,489,1
751,2019,4,1,808,512,2
